EmpID,BusinessTravel,Department,HourlyRate,JobLevel,JobRole,JobSatisfaction,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
2102251,Travel_Rarely,Research & Development,33,1,Laboratory Technician,1,19715,1,No,13,1,3,1,0,0,0,No
2102252,Travel_Rarely,Research & Development,48,1,Laboratory Technician,3,10558,1,No,12,1,2,1,0,0,1,Yes
2102253,Travel_Frequently,Sales,37,3,Sales Executive,3,2975,1,No,15,9,3,9,8,1,7,No
2102254,Travel_Frequently,Research & Development,58,2,Laboratory Technician,4,10781,1,No,23,12,3,12,8,3,7,No
2102255,Travel_Rarely,Research & Development,49,5,Research Director,3,16280,1,No,12,23,3,22,15,15,8,Yes
2102256,Non-Travel,Sales,72,2,Sales Executive,3,10034,0,No,20,10,3,9,5,8,7,No
2102257,Travel_Rarely,Research & Development,73,1,Research Scientist,2,10227,4,No,21,8,3,1,0,0,0,No
2102258,Travel_Frequently,Sales,98,2,Sales Executive,4,20445,4,Yes,21,14,3,9,6,0,8,No
2102259,Travel_Rarely,Research & Development,36,1,Laboratory Technician,4,4892,1,No,19,1,3,1,0,0,1,No
2102260,Travel_Rarely,Research & Development,98,3,Laboratory Technician,3,19294,9,Yes,13,23,3,1,0,0,0,Yes
2102261,Travel_Rarely,Research & Development,50,1,Laboratory Technician,3,11179,1,Yes,13,2,2,2,2,2,2,Yes
2102262,Travel_Rarely,Sales,75,2,Sales Executive,1,4009,5,Yes,21,9,2,4,3,1,3,No
2102263,Non-Travel,Research & Development,79,3,Healthcare Representative,1,8302,2,Yes,13,10,3,4,0,2,3,No
2102264,Travel_Rarely,Sales,47,2,Sales Executive,4,21436,7,Yes,19,5,2,2,2,0,0,No
2102265,Travel_Frequently,Research & Development,98,3,Research Director,4,15146,1,Yes,12,15,3,15,14,8,12,No
2102266,Travel_Frequently,Sales,71,3,Sales Executive,1,11031,1,No,22,9,2,9,8,1,8,No
2102267,Travel_Rarely,Research & Development,30,1,Laboratory Technician,1,16002,3,Yes,15,4,3,2,2,2,2,No
2102268,Travel_Rarely,Research & Development,48,2,Laboratory Technician,4,9528,3,No,22,10,2,7,7,1,7,No
2102269,Travel_Rarely,Research & Development,51,2,Manufacturing Director,3,2689,1,No,18,7,4,7,5,0,7,No
2102270,Travel_Rarely,Research & Development,33,2,Manufacturing Director,4,10877,1,Yes,22,9,3,9,8,7,8,No
2102271,Travel_Frequently,Research & Development,50,2,Laboratory Technician,4,5456,1,No,11,10,3,10,3,9,9,No
2102272,Travel_Rarely,Research & Development,43,5,Research Director,3,16701,5,Yes,12,29,2,27,3,13,8,No
2102273,Travel_Rarely,Sales,99,3,Sales Executive,1,2354,7,No,11,28,2,21,16,7,9,No
2102274,Travel_Rarely,Research & Development,59,3,Healthcare Representative,3,8202,1,No,13,17,3,17,14,12,8,No
2102275,Travel_Rarely,Research & Development,33,,Manager,3,19730,2,Yes,14,21,3,5,0,0,2,No
2102276,Travel_Frequently,Research & Development,95,,Manufacturing Director,2,22656,1,No,13,6,3,6,5,0,3,No
2102277,Travel_Rarely,Research & Development,59,,Research Scientist,1,18787,2,No,17,25,3,1,0,0,0,No
2102278,Travel_Frequently,Research & Development,79,,Research Scientist,1,5868,4,No,13,5,2,3,2,1,2,No
2102279,Travel_Rarely,Research & Development,79,,Research Scientist,3,21777,0,Yes,17,2,2,1,0,0,0,Yes
2102280,Travel_Frequently,Sales,57,,Sales Executive,3,24668,7,No,11,20,2,4,3,1,3,No
2102281,Travel_Rarely,Research & Development,76,1,Research Scientist,2,4956,0,No,23,6,3,5,4,0,4,No
2102282,Travel_Rarely,Research & Development,87,1,Research Scientist,2,18775,1,No,17,1,3,1,1,1,0,No
2102283,Travel_Rarely,Research & Development,66,2,Research Scientist,2,7346,1,No,17,10,3,10,4,0,9,No
2102284,Travel_Rarely,Research & Development,55,1,Laboratory Technician,4,22002,3,No,12,5,3,1,0,0,0,No
2102285,Travel_Rarely,Research & Development,61,2,Manufacturing Director,4,20682,1,No,23,11,3,11,7,1,8,No
2102286,Travel_Rarely,Sales,32,2,Sales Executive,1,23016,0,No,14,16,3,15,13,2,8,No
2102287,Travel_Rarely,Research & Development,52,3,Research Director,1,15067,4,Yes,14,17,4,0,0,0,0,No
2102288,Travel_Rarely,Research & Development,30,3,Research Director,3,25258,4,No,13,16,4,5,2,0,2,No
2102289,Travel_Rarely,Human Resources,80,2,Human Resources,2,10425,8,Yes,22,16,3,4,2,0,2,No
2102290,Travel_Rarely,Research & Development,55,2,Laboratory Technician,4,15998,1,Yes,12,10,2,10,8,3,0,No
2102291,Travel_Rarely,Research & Development,30,1,Research Scientist,3,26278,1,No,18,6,3,6,4,0,4,No
2102292,Travel_Rarely,Sales,70,3,Sales Executive,4,18092,3,No,14,24,3,1,0,1,0,No
2102293,Non-Travel,Research & Development,79,2,Research Scientist,4,15717,7,Yes,12,17,3,13,11,1,9,No
2102294,Travel_Rarely,Research & Development,94,2,Manufacturing Director,2,17736,1,No,15,5,3,5,2,1,3,No
2102295,Travel_Rarely,Research & Development,49,3,Manufacturing Director,4,21698,4,No,11,37,2,6,4,0,2,No
2102296,Travel_Rarely,Sales,62,1,Sales Representative,1,9518,3,No,13,3,3,0,0,0,0,No
2102297,Travel_Rarely,Research & Development,96,1,Laboratory Technician,4,18725,3,No,23,10,3,4,2,0,3,No
2102298,Travel_Rarely,Research & Development,99,2,Healthcare Representative,4,15830,1,No,19,11,3,11,10,10,8,No
2102299,Travel_Rarely,Sales,64,3,Sales Executive,4,13596,1,No,16,9,3,9,8,4,7,Yes
2102300,Travel_Frequently,Research & Development,78,4,Healthcare Representative,2,14115,1,No,22,22,2,22,3,11,11,No
2102301,Travel_Rarely,Sales,71,2,Sales Executive,4,8423,0,Yes,22,11,1,10,7,1,0,No
2102302,Travel_Rarely,Sales,63,2,Sales Executive,2,19760,1,Yes,12,11,2,11,8,2,7,No
2102303,Travel_Frequently,Research & Development,40,3,Healthcare Representative,1,3142,2,Yes,13,21,2,10,9,9,5,No
2102304,Travel_Rarely,Sales,87,2,Sales Executive,3,24301,1,No,16,12,3,11,8,5,7,No
2102305,Travel_Rarely,Research & Development,60,3,Research Director,3,24001,9,No,12,16,1,4,3,0,3,No
2102306,Travel_Rarely,Sales,33,2,Sales Executive,3,17519,0,No,21,4,2,3,2,0,2,No
2102307,Non-Travel,Sales,43,2,Sales Executive,3,8863,1,No,15,5,4,5,4,0,4,No
2102308,Travel_Rarely,Sales,37,4,Sales Executive,3,24409,0,No,13,38,2,37,10,1,8,No
2102309,Non-Travel,Research & Development,67,2,Laboratory Technician,2,25043,4,No,12,17,4,3,2,1,2,No
2102310,Travel_Rarely,Human Resources,63,1,Human Resources,1,23648,4,Yes,22,7,3,3,2,0,2,Yes
2102311,Travel_Rarely,Research & Development,71,1,Research Scientist,1,15178,1,No,13,1,3,1,0,0,0,No
2102312,Travel_Frequently,Research & Development,66,1,Laboratory Technician,4,19783,1,Yes,18,1,3,1,0,1,0,Yes
2102313,Travel_Rarely,Research & Development,41,2,Research Scientist,3,12482,1,No,14,16,3,16,13,2,10,No
2102314,Non-Travel,Research & Development,100,2,Healthcare Representative,4,15850,5,No,14,17,4,1,0,0,0,No
2102315,Non-Travel,Human Resources,32,5,Manager,4,21922,9,No,21,30,3,3,2,2,2,No
2102316,Travel_Frequently,Research & Development,73,5,Research Director,2,9755,3,Yes,19,28,2,8,3,0,7,No
2102317,Travel_Rarely,Sales,46,2,Sales Executive,3,26959,1,Yes,11,6,3,6,4,0,3,Yes
2102318,Travel_Rarely,Research & Development,64,1,Research Scientist,4,26897,1,No,11,2,3,2,2,2,1,No
2102319,Travel_Rarely,Research & Development,59,1,Laboratory Technician,4,23785,1,No,15,1,3,0,0,0,0,No
2102320,Travel_Frequently,Research & Development,30,3,Healthcare Representative,1,25796,3,No,20,23,2,13,12,12,8,No
2102321,Travel_Frequently,Research & Development,66,2,Laboratory Technician,3,22887,1,Yes,24,9,3,9,7,0,6,Yes
2102322,Non-Travel,Human Resources,30,4,Manager,4,13871,2,Yes,12,23,3,5,3,4,4,No
2102323,Travel_Rarely,Research & Development,52,1,Laboratory Technician,3,13257,0,No,12,6,3,5,3,1,2,No
2102324,Travel_Rarely,Research & Development,45,2,Research Scientist,2,15000,6,No,15,12,3,1,0,0,0,No
2102325,Travel_Rarely,Sales,87,3,Sales Executive,4,14506,2,No,12,12,3,5,3,1,3,No
2102326,Travel_Rarely,Research & Development,45,3,Manager,1,5615,2,No,12,14,3,11,10,5,8,No
2102327,Travel_Frequently,Sales,92,3,Sales Executive,4,22952,0,No,14,10,3,9,7,2,8,No
2102328,Travel_Rarely,Research & Development,39,1,Laboratory Technician,4,2561,5,No,22,7,3,1,0,0,0,No
2102329,Travel_Frequently,Sales,92,4,Manager,4,19494,1,Yes,12,25,4,25,12,4,12,No
2102330,Travel_Frequently,Research & Development,96,1,Research Scientist,3,22310,1,No,25,10,2,10,7,0,9,No
2102331,Non-Travel,Sales,95,2,Sales Executive,2,15480,0,No,13,8,4,7,7,0,7,No
2102332,Travel_Rarely,Research & Development,72,1,Research Scientist,2,4510,9,Yes,18,7,3,5,4,4,3,Yes
2102333,Travel_Rarely,Research & Development,51,5,Research Director,3,6462,7,No,13,23,3,20,18,15,15,No
2102334,Travel_Rarely,Sales,76,2,Sales Executive,3,20739,4,Yes,18,12,2,7,7,7,7,Yes
2102335,Travel_Rarely,Research & Development,46,1,Research Scientist,2,23300,1,No,19,5,2,5,4,4,3,No
2102336,Travel_Rarely,Research & Development,94,3,Healthcare Representative,4,3465,1,No,12,40,2,40,10,15,6,Yes
2102337,Travel_Rarely,Sales,50,1,Sales Representative,3,26820,1,Yes,19,0,2,0,0,0,0,Yes
2102338,Travel_Rarely,Research & Development,100,1,Laboratory Technician,4,19299,0,No,14,3,3,2,1,2,1,No
2102339,Travel_Rarely,Research & Development,96,2,Manufacturing Director,1,5549,1,No,14,16,2,15,11,5,11,No
2102340,Travel_Frequently,Research & Development,72,1,Research Scientist,3,16090,4,No,12,18,3,3,2,1,2,No
2102341,Travel_Frequently,Sales,77,3,Sales Executive,4,6645,4,No,11,16,3,2,2,2,1,No
2102342,Travel_Rarely,Sales,71,2,Sales Executive,3,24788,3,Yes,11,4,3,2,2,2,2,Yes
2102343,Travel_Rarely,Sales,96,3,Sales Executive,3,21196,3,Yes,13,12,3,9,7,0,7,No
2102344,Travel_Rarely,Human Resources,61,1,Human Resources,3,8916,1,No,23,8,3,8,7,5,7,No
2102345,Travel_Rarely,Research & Development,84,2,Manufacturing Director,2,2819,6,No,20,7,3,3,2,0,1,No
2102346,Travel_Frequently,Research & Development,53,3,Manufacturing Director,4,25150,2,No,15,18,3,4,2,0,3,Yes
2102347,Travel_Rarely,Sales,47,2,Sales Executive,3,14590,4,No,14,17,4,15,11,5,9,No
2102348,Travel_Rarely,Sales,41,2,Sales Executive,3,24835,2,No,18,6,3,2,2,2,2,No
2102349,Travel_Rarely,Human Resources,48,2,Human Resources,4,13982,0,Yes,19,12,1,11,9,4,7,No
2102350,Travel_Rarely,Research & Development,41,1,Laboratory Technician,1,10224,7,No,22,10,4,5,4,0,4,Yes
2102351,Travel_Rarely,Research & Development,83,1,Research Scientist,4,9752,5,No,13,9,2,6,5,0,3,No
2102352,Travel_Rarely,Research & Development,32,2,Research Scientist,3,2302,3,Yes,20,19,3,3,2,2,2,No
2102353,Travel_Rarely,Research & Development,75,1,Research Scientist,3,23910,1,No,14,5,2,5,4,0,4,No
2102354,Travel_Frequently,Sales,35,2,Sales Executive,4,22812,0,No,17,9,4,8,7,0,7,No
2102355,Travel_Rarely,Research & Development,84,1,Research Scientist,1,10415,5,No,14,8,3,3,2,2,2,No
2102356,Travel_Rarely,Research & Development,35,1,Laboratory Technician,4,11162,0,No,13,6,3,5,3,1,2,No
2102357,Travel_Frequently,Research & Development,91,4,Manager,1,12888,4,No,13,21,2,7,6,7,7,No
2102358,Travel_Rarely,Research & Development,94,1,Laboratory Technician,1,6961,2,No,21,7,3,5,0,1,4,No
2102359,Travel_Rarely,Research & Development,79,1,Laboratory Technician,2,16102,1,No,14,1,3,1,0,0,0,No
2102360,Travel_Frequently,Research & Development,54,2,Research Scientist,2,8504,1,No,11,20,3,20,7,2,13,No
2102361,Travel_Rarely,Sales,94,3,Sales Executive,2,11439,1,No,13,10,3,10,8,0,6,No
2102362,Travel_Rarely,Sales,34,2,Sales Representative,3,16047,2,Yes,20,13,1,7,7,4,5,No
2102363,Travel_Rarely,Research & Development,60,2,Laboratory Technician,2,10901,8,No,18,20,1,17,9,0,15,No
2102364,Travel_Frequently,Sales,43,3,Sales Executive,4,15589,1,No,14,9,3,9,8,3,7,No
2102365,Non-Travel,Research & Development,41,2,Manufacturing Director,3,26283,1,No,13,10,3,10,7,0,9,No
2102366,Travel_Rarely,Research & Development,34,2,Manufacturing Director,3,13983,2,No,17,10,3,1,0,0,0,No
2102367,Travel_Rarely,Research & Development,75,1,Research Scientist,2,11873,4,Yes,20,9,2,1,0,0,0,No
2102368,Travel_Rarely,Sales,67,3,Sales Executive,4,8552,7,No,11,15,2,12,11,2,11,No
2102369,Travel_Frequently,Sales,75,1,Sales Representative,3,11314,6,No,18,6,3,4,3,1,2,No
2102370,Travel_Rarely,Research & Development,80,1,Research Scientist,4,11992,1,No,24,2,3,2,2,2,2,No
2102371,Non-Travel,Research & Development,57,1,Research Scientist,2,5970,6,No,18,6,1,2,2,2,2,No
2102372,Travel_Rarely,Research & Development,42,1,Research Scientist,4,6672,1,No,11,5,1,5,2,0,2,No
2102373,Travel_Rarely,Research & Development,83,3,Healthcare Representative,4,23402,3,Yes,16,12,1,5,3,1,4,No
2102374,Non-Travel,Research & Development,79,1,Research Scientist,3,25326,1,Yes,15,1,2,1,1,0,1,No
2102375,Travel_Rarely,Research & Development,53,5,Manager,2,17053,3,No,15,21,3,5,4,4,4,No
2102376,Travel_Rarely,Research & Development,56,1,Research Scientist,3,4609,4,No,12,13,3,9,8,1,8,No
2102377,Travel_Rarely,Sales,41,3,Sales Executive,4,8053,2,No,12,12,3,10,9,7,4,No
2102378,Travel_Rarely,Sales,59,2,Sales Executive,4,12930,4,No,22,12,4,8,3,0,7,No
2102379,Travel_Rarely,Research & Development,43,1,Research Scientist,3,12430,3,No,20,8,3,5,4,1,4,No
2102380,Travel_Rarely,Research & Development,51,1,Research Scientist,2,13364,0,Yes,16,6,2,5,2,1,1,No
2102381,Travel_Frequently,Sales,100,1,Sales Representative,1,20989,0,No,21,1,4,0,0,0,0,Yes
2102382,Travel_Frequently,Research & Development,30,1,Laboratory Technician,2,15062,4,No,12,13,2,8,7,7,2,No
2102383,Non-Travel,Research & Development,66,2,Laboratory Technician,1,11012,1,No,11,12,3,12,9,6,10,No
2102384,Travel_Rarely,Sales,30,2,Sales Executive,1,6319,4,Yes,11,9,4,5,4,0,3,No
2102385,Travel_Rarely,Research & Development,67,1,Research Scientist,1,13939,4,Yes,18,19,3,2,2,2,2,No
2102386,Travel_Rarely,Research & Development,90,1,Research Scientist,4,10515,0,No,14,4,4,3,1,0,2,No
2102387,Travel_Rarely,Research & Development,47,1,Laboratory Technician,4,9241,1,No,22,1,2,1,0,1,0,Yes
2102388,Travel_Rarely,Sales,92,3,Sales Executive,1,2137,1,No,25,24,3,24,13,15,7,No
2102389,Travel_Rarely,Research & Development,75,1,Laboratory Technician,4,6319,1,No,12,2,3,2,2,2,1,No
2102390,Travel_Rarely,Research & Development,95,1,Research Scientist,4,6984,8,Yes,23,7,3,4,2,0,2,No
2102391,Travel_Rarely,Research & Development,95,1,Research Scientist,2,5711,2,No,15,9,3,3,2,1,2,No
2102392,Travel_Rarely,Sales,70,1,Sales Representative,2,21728,1,Yes,22,4,2,4,3,0,2,Yes
2102393,Travel_Rarely,Research & Development,86,1,Laboratory Technician,3,3425,2,No,15,5,2,3,2,0,2,No
2102394,Travel_Rarely,Research & Development,57,2,Manufacturing Director,1,26250,1,No,11,5,3,4,2,1,3,No
2102395,Travel_Rarely,Research & Development,72,1,Research Scientist,2,4673,1,No,13,8,3,8,7,1,6,No
2102396,Travel_Rarely,Research & Development,46,5,Manager,3,6499,1,No,14,21,3,20,8,9,9,No
2102397,Travel_Rarely,Research & Development,61,5,Research Director,2,13339,8,No,11,36,3,24,15,2,15,No
2102398,Travel_Frequently,Research & Development,45,2,Manufacturing Director,3,14074,1,No,17,10,2,10,9,1,9,No
2102399,Travel_Rarely,Research & Development,98,4,Healthcare Representative,2,7192,3,No,18,21,3,7,7,1,0,No
2102400,Travel_Rarely,Research & Development,65,5,Manager,3,5678,0,No,14,34,3,33,18,11,9,No
2102401,Travel_Rarely,Research & Development,99,1,Research Scientist,2,11781,1,No,16,7,2,7,7,0,3,No
2102402,Travel_Rarely,Research & Development,50,2,Manufacturing Director,3,15497,3,Yes,13,8,3,1,0,0,1,Yes
2102403,Non-Travel,Research & Development,37,1,Research Scientist,4,5228,4,No,14,7,4,5,4,2,2,No
2102404,Non-Travel,Research & Development,65,4,Manager,4,20462,9,No,23,22,3,20,8,11,8,No
2102405,Travel_Rarely,Research & Development,65,1,Research Scientist,1,22977,1,Yes,12,8,2,8,7,1,7,No
2102406,Travel_Frequently,Research & Development,37,2,Laboratory Technician,2,15986,5,No,11,10,3,6,2,1,2,No
2102407,Non-Travel,Research & Development,36,2,Manufacturing Director,3,16439,2,No,16,11,3,5,3,0,2,No
2102408,Travel_Rarely,Research & Development,88,2,Manufacturing Director,3,7259,9,No,14,14,3,1,0,0,0,No
2102409,Travel_Rarely,Research & Development,54,2,Manufacturing Director,4,4185,3,No,18,9,1,7,7,1,7,No
2102410,Travel_Frequently,Research & Development,60,2,Manufacturing Director,1,9679,5,No,19,6,3,2,2,2,0,No
2102411,Non-Travel,Research & Development,92,2,Manufacturing Director,4,23793,1,Yes,15,7,3,7,7,1,7,No
2102412,Travel_Frequently,Research & Development,43,1,Research Scientist,3,5972,1,Yes,17,5,4,5,3,2,0,No
2102413,Travel_Rarely,Research & Development,99,2,Laboratory Technician,4,16523,8,Yes,15,15,4,7,2,3,7,No
2102414,Travel_Rarely,Research & Development,70,2,Healthcare Representative,1,11354,7,Yes,19,17,3,1,0,0,0,Yes
2102415,Travel_Rarely,Sales,35,3,Sales Executive,4,24525,1,No,22,10,2,10,4,1,9,Yes
2102416,Travel_Rarely,Research & Development,60,1,Research Scientist,2,12392,1,Yes,16,4,2,4,2,2,2,No
2102417,Travel_Frequently,Research & Development,73,1,Laboratory Technician,4,7703,1,No,13,8,3,8,1,1,7,No
2102418,Non-Travel,Research & Development,63,2,Healthcare Representative,4,14242,9,No,14,5,1,3,2,0,2,No
2102419,Travel_Rarely,Research & Development,97,3,Healthcare Representative,1,12368,7,No,16,17,3,4,2,0,3,No
2102420,Travel_Rarely,Sales,32,3,Sales Executive,4,25812,1,No,11,14,2,14,8,9,8,Yes
2102421,Non-Travel,Research & Development,88,3,Manufacturing Director,3,20925,1,No,22,12,3,11,8,5,8,No
2102422,Travel_Frequently,Sales,90,2,Sales Executive,3,12916,1,No,14,7,3,7,7,0,7,No
2102423,Travel_Rarely,Research & Development,81,3,Research Director,2,15736,5,No,16,16,1,10,9,4,7,No
2102424,Travel_Rarely,Research & Development,88,1,Research Scientist,1,8556,5,Yes,11,8,3,5,2,0,4,Yes
2102425,Travel_Rarely,Sales,75,3,Manager,4,14674,3,Yes,18,16,3,1,0,0,0,No
2102426,Travel_Frequently,Sales,52,2,Sales Executive,1,22967,5,No,15,9,2,6,3,0,1,Yes
2102427,Travel_Rarely,Research & Development,85,1,Research Scientist,3,19757,0,No,14,7,2,6,2,1,5,Yes
2102428,Non-Travel,Sales,57,3,Sales Executive,4,16840,6,No,12,23,3,19,7,12,8,No
2102429,Travel_Rarely,Sales,52,2,Sales Executive,1,17011,2,No,14,16,3,6,2,0,5,No
2102430,Travel_Rarely,Research & Development,62,2,Laboratory Technician,2,9945,8,No,16,16,4,13,11,3,7,No
2102431,Travel_Rarely,Research & Development,47,1,Research Scientist,2,13248,6,No,21,7,3,3,2,1,1,No
2102432,Travel_Frequently,Research & Development,47,3,Research Director,4,10056,1,Yes,14,10,3,10,8,0,7,No
2102433,Travel_Rarely,Sales,76,3,Sales Executive,3,9647,0,No,12,17,2,16,10,5,13,No
2102434,Non-Travel,Research & Development,90,2,Manufacturing Director,3,4381,0,No,12,6,3,5,4,1,4,No
2102435,Travel_Rarely,Research & Development,70,1,Research Scientist,4,8456,3,No,17,7,3,1,0,0,0,No
2102436,Travel_Frequently,Sales,41,1,Sales Representative,4,2539,4,No,17,13,3,9,8,5,8,No
2102437,Travel_Frequently,Sales,42,3,Sales Executive,4,6599,1,No,14,11,3,11,10,4,1,No
2102438,Travel_Frequently,Sales,92,3,Sales Executive,3,9096,1,No,14,10,4,10,7,0,8,No
2102439,Travel_Rarely,Research & Development,86,1,Research Scientist,4,14961,1,Yes,13,4,2,4,3,0,1,Yes
2102440,Travel_Rarely,Research & Development,89,1,Laboratory Technician,4,3300,7,No,15,6,2,2,2,2,2,No
2102441,Travel_Rarely,Research & Development,58,5,Manager,4,4933,1,No,11,22,3,22,17,11,15,No
2102442,Travel_Rarely,Human Resources,52,1,Human Resources,3,25657,8,No,17,7,2,2,2,2,2,No
2102443,Travel_Rarely,Sales,68,5,Manager,4,24118,3,No,11,32,2,7,0,0,6,No
2102444,Travel_Rarely,Research & Development,58,1,Laboratory Technician,4,22149,5,Yes,13,8,1,5,4,0,4,Yes
2102445,Travel_Rarely,Sales,80,4,Manager,4,7744,5,Yes,22,22,3,17,13,1,9,No
2102446,Travel_Rarely,Research & Development,39,1,Laboratory Technician,1,21509,7,No,20,13,4,9,7,1,7,Yes
2102447,Non-Travel,Sales,79,5,Manager,3,21030,1,Yes,18,33,4,33,7,15,12,No
2102448,Travel_Rarely,Sales,56,1,Sales Representative,2,20990,2,No,11,6,3,4,3,1,2,No
2102449,Travel_Rarely,Research & Development,62,1,Laboratory Technician,3,9571,0,Yes,14,4,1,3,2,1,2,Yes
2102450,Travel_Rarely,Research & Development,96,1,Laboratory Technician,3,15417,7,No,14,7,3,3,2,1,2,No
2102451,Non-Travel,Sales,100,2,Sales Executive,4,12069,0,No,18,4,3,3,2,2,2,No
2102452,Travel_Rarely,Research & Development,36,2,Research Scientist,1,19877,2,No,16,17,2,1,0,0,0,No
2102453,Travel_Rarely,Research & Development,62,2,Research Scientist,4,24447,1,No,17,9,3,9,8,4,7,No
2102454,Travel_Rarely,Research & Development,70,5,Manager,4,15970,0,No,11,25,3,24,0,1,7,No
2102455,Travel_Frequently,Research & Development,73,3,Research Director,3,13523,9,No,12,9,3,2,2,2,2,No
2102456,Travel_Rarely,Research & Development,63,1,Research Scientist,4,14776,1,No,13,2,2,2,2,0,2,No
